"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Full Voynich Maximal","voy.f.com","Voynich","Voynich",37940,8172,229905,45,5.49185309632967,3.8828154203982,6.0420908986529,2.15927547825469,7.92918721499183,1.88709631633893,11.5110182085637,9.8056699680628,12.9933917547634,3.18772178670059,13.1971001771273,0.20370842236394,0.619197368421053,0.536473684210526,0.457134291915355,"daiin","ol","chedy","aiin","shedy",0.0227464417501318,0.0141539272535582,0.0736953083816553,0.120347917764892,0.219319978914075,0.314285714285714,0.421665788086452,-0.634160677116923,0.00145970257297255,-0.603996222996386,0.0117486155501842
"Full Voynich Maximal Text","voy.f.com.text","Voynich","Voynich",33111,6936,200988,36,5.16992500144231,3.88036560832394,5.99726427857615,2.11689867025222,7.83897316374047,1.84170888516432,11.2152515510764,9.625234572709,12.6626051090875,3.03737053637852,12.8610112956518,0.198406186564299,0.613221191340594,0.533553524112348,0.450297426801504,"daiin","ol","chedy","aiin","shedy",0.0246745794448975,0.0150705203708737,0.077647911570173,0.12603062426384,0.228262510948023,0.325511159433421,0.435202802693969,-0.641971405581034,0.00153056410111915,-0.621454054170157,0.0114737561026684
"Full Voynich Maximal Simplified","voy.f","Voynich","Voynich",37940,8150,229898,22,4.4594316186373,3.878126745776,6.03551171119586,2.15738496541987,7.92317209555417,1.88766038435831,11.5089885307362,9.80270319180612,12.9924856933833,3.18978250157719,13.1967567249996,0.204271031616253,0.618934210526316,0.536210526315789,0.456844818231145,"daiin","ol","chedy","aiin","shedy",0.0227464417501318,0.0141539272535582,0.0736953083816553,0.120347917764892,0.219319978914075,0.314285714285714,0.421665788086452,-0.634025102572542,0.00146049026001685,-0.603996222996386,0.0117486155501842
"Full Voynich Maximal Simplified Text","voy.f.text","Voynich","Voynich",33111,6924,200982,22,4.4594316186373,3.87667064495614,5.99212770049711,2.11545705554097,7.83410009448299,1.84197239398588,11.2142845967165,9.6245366645129,12.6626051090875,3.03806844457463,12.8610112956518,0.198406186564299,0.613161489848057,0.533494700582936,0.450209191507386,"daiin","ol","chedy","aiin","shedy",0.0246745794448975,0.0150705203708737,0.077647911570173,0.12603062426384,0.228262510948023,0.325511159433421,0.435202802693969,-0.64191991564419,0.00153126153897896,-0.621454054170157,0.0114737561026684
"Full Voynich Minimal","voy.f.min","Voynich","Voynich",37940,8101,188625,41,5.35755200461808,3.9432548277522,6.41838748671544,2.47513265896324,8.67316492147197,2.25477743475652,11.5038637341384,9.79848351178458,12.9921586766287,3.19367516484409,13.1968067350016,0.204648058372898,0.618539473684211,0.535656215005599,0.456159793814433,"daM","ol","Sedy","aM","Zedy",0.0227464417501318,0.0141539272535582,0.0736953083816553,0.120347917764892,0.219399051133368,0.314364786505008,0.421797575118608,-0.633779297456487,0.0014634357027406,-0.603830731502383,0.0117529019859022
"Full Voynich Minimal Text","voy.f.min.text","Voynich","Voynich",33111,6879,163562,41,5.35755200461808,3.94167246869852,6.37858349835066,2.43691102965214,8.59452564495073,2.21594214660007,11.2092813458916,9.62039462525808,12.662255074084,3.04186044882595,12.8610613056538,0.198806231569799,0.612773430146564,0.53296528881823,0.449450362683327,"daM","ol","Sedy","aM","Zedy",0.0246745794448975,0.0150705203708737,0.077647911570173,0.126060825707469,0.22835311527891,0.325601763764308,0.435323608468485,-0.641656271922934,0.00153450412508045,-0.621291190937477,0.0114825504851479
"Voynich A Maximal","voy.a.com","Voynich","Voynich",11415,3460,67244,36,5.16992500144231,3.852736354266,6.02327302169467,2.17053666742867,7.91861152335872,1.89533850166405,10.5585215778329,9.25848076735047,11.7344886071956,2.47600783984514,11.8726387948957,0.138150187700101,0.627016238868518,0.552364457831325,0.471474676089517,"daiin","chol","chor","s","dy",0.0447656592203241,0.0245291283399036,0.110468681559352,0.156898817345598,0.251248357424442,0.339903635567236,0.44388961892247,-0.780441150073866,0.00139916200881984,-0.857346084390905,0.00824592613553198
"Voynich A Maximal Text","voy.a.com.text","Voynich","Voynich",11081,3281,65125,33,5.04439411935845,3.84812675304128,5.99745396126989,2.14932720822861,7.87168718920529,1.8742332279354,10.3459032756018,9.06328863475972,11.5391876466998,2.47589901194008,11.6784242764424,0.139236629742631,0.629456790123457,0.561042181069959,0.465935630588961,"daiin","chol","chor","s","dy",0.0458442378846674,0.025087988448696,0.112895948019132,0.160454832596336,0.256565291941161,0.346268387329663,0.451854525764823,-0.782143870170412,0.00143856848116985,-0.86141559408927,0.0084122807574108
"Voynich A Maximal Simplified","voy.a","Voynich","Voynich",11415,3446,67241,21,4.39231742277876,3.84580542823704,6.01291710885999,2.16711168062295,7.90889606965736,1.89597896079737,10.555476430344,9.25595688064553,11.7344886071956,2.47853172655007,11.8726387948957,0.138150187700101,0.626668412781561,0.552031124497992,0.470891342756184,"daiin","chol","chor","s","dy",0.0447656592203241,0.0245291283399036,0.110468681559352,0.156898817345598,0.251248357424442,0.339903635567236,0.443977222952256,-0.780213752583125,0.00139952621218229,-0.85728308958995,0.00823712093684639
"Voynich A Maximal Simplified Text","voy.a.text","Voynich","Voynich",11081,3270,65122,21,4.39231742277876,3.84170733062281,5.98783249828087,2.14612516765806,7.86253051937167,1.87469802109079,10.3435186535278,9.06161572555522,11.5391876466998,2.47757192114458,11.6784242764424,0.139236629742631,0.629282877079979,0.560875514403292,0.465518963922294,"daiin","chol","chor","s","dy",0.0458442378846674,0.025087988448696,0.112895948019132,0.160454832596336,0.256565291941161,0.346268387329663,0.451944770327588,-0.781985071747288,0.00143894665842797,-0.861351992718116,0.00840375706205196
