Quire,Folio,Section,Scribe,Language
1,f1r,Botanical,1,A
1,f1v,Botanical,1,A
1,f2r,Botanical,1,A
1,f2v,Botanical,1,A
1,f3r,Botanical,1,A
1,f3v,Botanical,1,A
1,f4r,Botanical,1,A
1,f4v,Botanical,1,A
1,f5r,Botanical,1,A
1,f5v,Botanical,1,A
1,f6r,Botanical,1,A
1,f6v,Botanical,1,A
1,f7r,Botanical,1,A
1,f7v,Botanical,1,A
1,f8r,Botanical,1,A
1,f8v,Botanical,1,A
2,f9r,Botanical,1,A
2,f9v,Botanical,1,A
2,f10r,Botanical,1,A
2,f10v,Botanical,1,A
2,f11r,Botanical,1,A
2,f11v,Botanical,1,A
2,f12r,[lacking],NA,NA
2,f12v,[lacking],NA,NA
2,f13r,Botanical,1,A
2,f13v,Botanical,1,A
2,f14r,Botanical,1,A
2,f14v,Botanical,1,A
2,f15r,Botanical,1,A
2,f15v,Botanical,1,A
2,f16r,Botanical,1,A
2,f16v,Botanical,1,A
3,f17r,Botanical,1,A
3,f17v,Botanical,1,A
3,f18r,Botanical,1,A
3,f18v,Botanical,1,A
3,f19r,Botanical,1,A
3,f19v,Botanical,1,A
3,f20r,Botanical,1,A
3,f20v,Botanical,1,A
3,f21r,Botanical,1,A
3,f21v,Botanical,1,A
3,f22r,Botanical,1,A
3,f22v,Botanical,1,A
3,f23r,Botanical,1,A
3,f23v,Botanical,1,A
3,f24r,Botanical,1,A
3,f24v,Botanical,1,A
4,f25r,Botanical,1,A
4,f25v,Botanical,1,A
4,f26r,Botanical,2,B
4,f26v,Botanical,2,B
4,f27r,Botanical,1,A
4,f27v,Botanical,1,A
4,f28r,Botanical,1,A
4,f28v,Botanical,1,A
4,f29r,Botanical,1,A
4,f29v,Botanical,1,A
4,f30r,Botanical,1,A
4,f30v,Botanical,1,A
4,f31r,Botanical,2,B
4,f31v,Botanical,2,B
4,f32r,Botanical,1,A
4,f32v,Botanical,1,A
5,f33r,Botanical,2,B
5,f33v,Botanical,2,B
5,f34r,Botanical,2,B
5,f34v,Botanical,2,B
5,f35r,Botanical,1,A
5,f35v,Botanical,1,A
5,f36r,Botanical,1,A
