"line"	"folio"	"section"	"quire"	"panel"	"language"	"hand"	"misc"	"d.hand"	"placement"	"line_number"	"transcriber"	"complex.line"	"par_init"	"par_fin"
"fachys.ykal.ar.ataiin.shol.shory.cth!res.y.kor.sholdy!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	"fachys.ykal.ar.ataiin.shol.shory.cth!res.y.kor.sholdy!-"	0	27
"fachys.ykal.ar.ataiin.shol.shory.cthorys.y.kor.sholdy!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	"fachys.ykal.ar.ataiin.shol.shory.cthorys.y.kor.sholdy!-"	NA	NA
"fya!ys.ykal.ar.ytaiin.shol.shory.*k*!res.y!kor.sholdy!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	"fya!ys.ykal.ar.ytaiin.shol.shory.*k*!res.y!kor.sholdy!-"	NA	NA
"fachys.ykal.ar.ataiin.shol.shory.cth!res.y,kor.sholdy!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	"fachys.ykal.ar.ataiin.shol.shory.cth!res.y,kor.sholdy!-"	NA	NA
"fya!ys.ykal.ar.ytaiin.shol.shory.***!r*s.y.kor.sholdo*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	"fya!ys.ykal.ar.ytaiin.shol.shory.***!r*s.y.kor.sholdo*-"	NA	NA
"sory.ckhar.o!r.y.kair.chtaiin.shar.are.cthar.cthar.dan!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	"sory.ckhar.o!r.y.kair.chtaiin.shar.are.cthar.cthar.dan!-"	10	18
"sory.ckhar.o.r.y.kain.shtaiin.shar.ar*.cthar.cthar.dan!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	"sory.ckhar.o.r.y.kain.shtaiin.shar.ar*.cthar.cthar.dan!-"	NA	NA
"sory.ckhar.o!r!y.kair.chtaiin.shor.ar!.cthar.cthar.dana-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	"sory.ckhar.o!r!y.kair.chtaiin.shor.ar!.cthar.cthar.dana-"	NA	NA
"sory.ckhar.o!r,y.kair.chtaiin.shar.are.cthar.cthar,dan!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	"sory.ckhar.o!r,y.kair.chtaiin.shar.are.cthar.cthar,dan!-"	NA	NA
"sory.ckhar.o!r!y.kair.chtaiin.shor.ary.cthar.cthar.dan*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	"sory.ckhar.o!r!y.kair.chtaiin.shor.ary.cthar.cthar.dan*-"	NA	NA
