"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Full Voynich Maximal","voy.f.com","Voynich","Voynich",37959,8173,229924,45,5.49185309632967,3.88270932959596,6.0428316020944,2.16012227249844,7.93071707615302,1.88788547405863,11.5112259083153,9.80649930320701,12.9934125364142,3.18691323320722,13.1972741724235,0.203861636009303,0.618896858158468,0.536461335821305,0.457075306950377,"daiin","ol","chedy","aiin","shedy",0.0227350562448958,0.0141468426460128,0.0736584209278432,0.120287678811349,0.219210200479465,0.314128401696567,0.421454727469111,-0.634119792625584,0.00145895240069672,-0.603996222996386,0.0117486155501842
"Full Voynich Maximal Text","voy.f.com.text","Voynich","Voynich",33128,6937,201005,36,5.16992500144231,3.88025744496653,5.9980233237551,2.11776587878857,7.84053295190232,1.84250962814722,11.2161286873377,9.62600680398419,12.6640151429675,3.03800833898329,12.8623599157896,0.198344772822123,0.612347014925373,0.532536764705882,0.450010012515645,"daiin","ol","chedy","aiin","shedy",0.0246619174112533,0.0150627867664815,0.0776080656846172,0.125965950253562,0.228145375513161,0.325344119777831,0.434979473557112,-0.641929884507341,0.00152972508443578,-0.621454054170157,0.0114737561026684
"Full Voynich Maximal Simplified","voy.f","Voynich","Voynich",37957,8151,229915,22,4.4594316186373,3.87803216449219,6.03618681942338,2.15815465493119,7.92456290911963,1.88837608969625,11.5090749433787,9.80343835363423,12.992486183149,3.18904782951479,13.1969120493943,0.20442586624527,0.618531728665208,0.536200901941374,0.456785574052658,"daiin","ol","chedy","aiin","shedy",0.0227362541823643,0.0141475880601734,0.073662302078668,0.120294016913876,0.219221750928682,0.314144953500013,0.421476934425798,-0.633990472072919,0.00145982021748008,-0.603996222996386,0.0117486155501842
"Full Voynich Maximal Simplified Text","voy.f.text","Voynich","Voynich",33128,6925,200999,22,4.4594316186373,3.87656278723837,5.99288719913309,2.11632441189473,7.83566051119531,1.84277331206221,11.2151617329778,9.62530889578808,12.6640151429675,3.03870624717939,12.8623599157896,0.198344772822123,0.612287313432836,0.532477941176471,0.449921777221527,"daiin","ol","chedy","aiin","shedy",0.0246619174112533,0.0150627867664815,0.0776080656846172,0.125965950253562,0.228145375513161,0.325344119777831,0.434979473557112,-0.641878402052114,0.00153042177341283,-0.621454054170157,0.0114737561026684
"Full Voynich Minimal","voy.f.min","Voynich","Voynich",37957,8102,188642,41,5.35755200461808,3.94310795867689,6.41915007320858,2.47604211453169,8.67474671892863,2.25559664572005,11.5039508300887,9.79922125952087,12.9921591262602,3.19293786673934,13.1969620593963,0.204802933136079,0.618136991823103,0.535647087939284,0.456100785305113,"daM","ol","Sedy","aM","Zedy",0.0227362541823643,0.0141475880601734,0.073662302078668,0.120294016913876,0.219300787733488,0.314223990304819,0.421608662433807,-0.633744732953912,0.00146276447577525,-0.603830731502383,0.0117529019859022
"Full Voynich Minimal Text","voy.f.min.text","Voynich","Voynich",33128,6880,163579,41,5.35755200461808,3.94150229419654,6.37944568813117,2.43794339393462,8.59630939688185,2.21686370875068,11.2101593074799,9.62116355778582,12.6636650228022,3.04250146501636,12.8624099257916,0.198744902989415,0.611869402985075,0.531919117647059,0.449134334584898,"daM","ol","Sedy","aM","Zedy",0.0246619174112533,0.0150627867664815,0.0776080656846172,0.125996136198986,0.228235933349433,0.325434677614103,0.435100217338807,-0.641614844287129,0.00153366285356473,-0.621291190937477,0.0114825504851479
"Voynich A Maximal","voy.a.com","Voynich","Voynich",11417,3461,67246,36,5.16992500144231,3.85269786156124,6.02358401998285,2.17088615842161,7.9191538442299,1.89556982424705,10.5587552883551,9.25906422361965,11.7353789992878,2.47631477566816,11.873515248227,0.138136248939181,0.626882076947138,0.552107314148681,0.471435485768055,"daiin","chol","chor","s","dy",0.0447578172900061,0.0245248313917842,0.110449329946571,0.156871332223877,0.251204344398704,0.339844092143295,0.443811859507752,-0.780437506645245,0.00139880386363581,-0.857346084390905,0.00824592613553198
"Voynich A Maximal Text","voy.a.com.text","Voynich","Voynich",11081,3281,65125,33,5.04439411935845,3.84812675304128,5.99745396126989,2.14932720822861,7.87168718920529,1.8742332279354,10.3459032756018,9.06328863475972,11.5391876466998,2.47589901194008,11.6784242764424,0.139236629742631,0.629456790123457,0.561042181069959,0.465935630588961,"daiin","chol","chor","s","dy",0.0458442378846674,0.025087988448696,0.112895948019132,0.160454832596336,0.256565291941161,0.346268387329663,0.451854525764823,-0.782143870170412,0.00143856848116985,-0.86141559408927,0.0084122807574108
"Voynich A Maximal Simplified","voy.a","Voynich","Voynich",11415,3446,67241,21,4.39231742277876,3.84580542823704,6.01291710885999,2.16711168062295,7.90889606965736,1.89597896079737,10.555476430344,9.25595688064553,11.7344886071956,2.47853172655007,11.8726387948957,0.138150187700101,0.626668412781561,0.552031124497992,0.470891342756184,"daiin","chol","chor","s","dy",0.0447656592203241,0.0245291283399036,0.110468681559352,0.156898817345598,0.251248357424442,0.339903635567236,0.443977222952256,-0.780213752583125,0.00139952621218229,-0.85728308958995,0.00823712093684639
"Voynich A Maximal Simplified Text","voy.a.text","Voynich","Voynich",11081,3270,65122,21,4.39231742277876,3.84170733062281,5.98783249828087,2.14612516765806,7.86253051937167,1.87469802109079,10.3435186535278,9.06161572555522,11.5391876466998,2.47757192114458,11.6784242764424,0.139236629742631,0.629282877079979,0.560875514403292,0.465518963922294,"daiin","chol","chor","s","dy",0.0458442378846674,0.025087988448696,0.112895948019132,0.160454832596336,0.256565291941161,0.346268387329663,0.451944770327588,-0.781985071747288,0.00143894665842797,-0.861351992718116,0.00840375706205196
