"langs","codes","fams","subgroups","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Hausa","ha","Afro-Asiatic","Other Afro-Asiatic","Latin",142386,17455,798797,31,4.95419631038687,3.94109957017068,7.11480719466953,3.17370762449885,9.93250108021113,2.8176938855416,11.1753737155225,9.33454307748506,12.2291311380761,2.89458806059108,12.812700448325,0.583569310248863,0.498115989455504,0.429189209753977,0.36766745826137,"da","a","ta","ya","na",0.0641144494543003,0.0393578020310986,0.152283230092846,0.195637211523605,0.262610088070456,0.331865492393915,0.415342800556234,-0.911802510830335,0.000662762383243487,-1.03294845334308,0.0128134165001064
"Kabyle","kab","Afro-Asiatic","Other Afro-Asiatic","Latin",207438,33745,1145063,43,5.4262647547021,4.21618275916592,7.78608394640454,3.56990118723861,10.8543088283187,3.06822488191412,11.5585680422484,9.42317935811079,12.4714822155018,3.04830285739098,13.0349539900377,0.563471774535904,0.519592099906475,0.460291930101862,0.407798070236439,"n","d","deg","i","s",0.068970005495618,0.0552936299038749,0.175671766985798,0.225860257040658,0.293735959660236,0.354968713543324,0.421268041535302,-0.923223495581191,0.000895274989641741,-0.984464685658684,0.0239021564449118
"Oromo","om","Afro-Asiatic","Other Afro-Asiatic","Latin",206815,39546,1470805,27,4.75488750216347,4.03824565726685,7.33619526700356,3.29794960973671,10.1692355422677,2.83304027526415,11.8276942648296,10.4449772335145,12.7628531142412,2.31787588072666,13.0869230583963,0.324069944155097,0.616461851085039,0.551026318129279,0.493528344738084,"kan","fi","ta","akka","u",0.0214152745207069,0.0179822546720499,0.0696177743393854,0.099480211783478,0.165133089959626,0.226801731015642,0.296076203370162,-0.687334464001772,0.000473108113301532,-0.706784995325273,0.0129285203288757
"Somali","so","Afro-Asiatic","Other Afro-Asiatic","Latin",241690,38419,1557643,27,4.75488750216347,3.9967863756927,7.33299179914928,3.33620542345658,10.210875544505,2.87788374535572,11.660772733168,10.0098798718669,12.5917331146147,2.58185324274782,13.0300280046765,0.438294890061747,0.571371465854719,0.509769253802851,0.455308817057069,"oo","iyo","ka","ee","ku",0.0254830568083082,0.0212503620340105,0.100475816128098,0.160544499151806,0.250101369522943,0.312793247548513,0.373077082212752,-0.678211889102355,0.000846482388604588,-0.616549404050183,0.0210946822759533
"Amharic","am","Afro-Asiatic","Semitic","Ethiopic",111388,31280,523265,285,8.1548181090521,5.88477145045666,10.3936008230959,4.50882937263927,13.454905302044,3.06130447894805,11.9839249196286,10.9405227084512,12.5352010389641,1.59467833051296,12.7882532174429,0.253052178478814,0.699149553881004,0.644788843888071,0.59108833367641,"ነው","በ","ም","ዓ","ላይ",0.0130714260063921,0.0110963479010306,0.0504363127087298,0.0783746902718426,0.13174668725536,0.18322440478328,0.240663267138291,-0.627104563635215,0.000661670741091437,-0.600247318185416,0.015801909146084
"Arabic","ar","Afro-Asiatic","Semitic","Arabic",1173265,110553,6726649,38,5.24792751344359,4.32517644931284,8.03164171189401,3.70646526258117,11.1361219954693,3.10448028357527,11.9859243781645,10.6285672344939,12.8317958045066,2.20322857001269,13.144528867727,0.31273306322037,0.666154834352968,0.604797611777185,0.543726690278835,"في","من","على","إلى","أن",0.0356083237802202,0.0256370044278147,0.0902609384921565,0.114235061985144,0.157301206462308,0.198745381478183,0.248095698755183,-0.859018706799906,0.000289180752562228,-0.985179400533682,0.0171980584858243
"Aramaic","arc","Afro-Asiatic","Semitic","Syriac",79259,14018,500856,47,5.55458885167764,4.0659253613071,7.58247179769995,3.51654643639286,10.3802714239956,2.79779962629568,11.4844506221475,9.91286983751632,12.0044272307731,2.0915573932568,12.4912411378126,0.486813907039527,0.507517593064763,0.446316216216216,0.397624940428912,"ܠܫܢܐ","ܡܢ","ܨܘܝܒܐ","ܐܘ","ܗܝ",0.0173986550423296,0.0137523814330234,0.0649768480551105,0.104215294162177,0.174844497154897,0.244035377685815,0.332479592222965,-0.617240412473237,0.00101715647864239,-0.612133793463644,0.0153172911257162
"Egyptian Arabic","arz","Afro-Asiatic","Semitic","Arabic",237389,42398,1314446,41,5.35755200461808,4.26473821367313,7.9394587966046,3.67472058293147,11.0532454377474,3.11378664114283,11.9967511897058,10.4559449337696,12.8812301930344,2.42528525926478,13.1773628169731,0.296132623938739,0.628512082262211,0.577198483506513,0.528324657724861,"و","فى","من","على","اللى",0.0552300232950979,0.0346856846778916,0.135545454928409,0.167181293151747,0.210009730863688,0.247732624510824,0.292085985450042,-0.967569481612562,0.000532162184803733,-1.05846616815773,0.0170888328058452
"Hebrew","he","Afro-Asiatic","Semitic","Hebrew",970710,100103,5544646,28,4.8073549220576,4.21583318462405,7.90150501463689,3.68567183001284,11.1325089581775,3.23100394354063,12.0641347744062,10.9497126989394,12.9152205724844,1.96550787354509,13.1769552045682,0.261734632083736,0.702046491099014,0.642703384053031,0.581563757027763,"של","את","על","הוא","ב",0.0276941620051303,0.0156431890059853,0.0683829362013372,0.0878944277899682,0.125472077139413,0.161536401190881,0.205723645579009,-0.829477585803548,0.000282847374583351,-0.980610893293191,0.0161372788778089
"Maltese","mt","Afro-Asiatic","Semitic","Latin",351823,36292,2113008,34,5.08746284125034,4.27939941876635,7.87127529939034,3.59187588062399,10.9204100053931,3.04913470600271,11.4267454687619,9.60805454190567,12.5224197040385,2.9143651621328,13.0164021291606,0.49398242512216,0.541238733112862,0.472778636915939,0.409850655138882,"l","u","ta","il","tal",0.0385278961295879,0.0293215622628424,0.147719165603158,0.203258456667131,0.264843401369439,0.320971056468736,0.390636769057168,-0.747027967454442,0.000962339641687224,-0.751516854566818,0.0288557520914132
"Tigrinya","ti","Afro-Asiatic","Semitic","Ethiopic",20262,7231,91327,299,8.2240016741981,5.7556288694586,10.1787571624577,4.4231282929991,12.867513026655,2.68875586419729,10.5621740311042,9.6500508117011,11.2588998816103,1.6088490699092,11.4408847819107,0.181984900300427,0.651012846769689,0.589025081788441,0.550411519777932,"ኣብ","እዩ","ድማ","እቲ","ናይ",0.0314875135722041,0.010364228605271,0.0705754614549403,0.10724508932978,0.171207185865166,0.225693416247162,0.295874049945711,-0.77796109709316,0.00123891395038445,-0.906968366549284,0.0187537180228473
